name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only,latitude,longitude,nonprofit
McIntyre,https://www.skiresort.info/ski-resort/mcintyre/,57.0,351,509,157,2.0,New Hampshire,37,,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,No,43.0062351836235,-71.4411046791014,No
Meadowlark Ski Lodge,https://www.skiresort.info/ski-resort/meadowlark-ski-lodge/,62.0,8481,9278,797,6.0,Wyoming,300,160,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,No,44.1639801381549,-107.215629847369,No
Meany Lodge,https://www.skiresort.info/ski-resort/meany-lodge/,60.0,2920,3346,427,1.0,Washington,100,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,47.2802117713962,-121.320279503498,Yes
Middlebury College Snow Bowl,https://www.skiresort.info/ski-resort/middlebury-college-snow-bowl/,65.0,1821,2657,837,9.0,Vermont,110,200,Independent,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,4,No,43.9390638679106,-72.9577790781621,No
Missaukee Mountain,https://www.skiresort.info/ski-resort/missaukee-mountain/,10.0,1253,1411,157,1.0,Michigan,25,90,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Yes,44.3920673639762,-85.2274053831272,Yes
Mohawk Mountain,https://www.skiresort.info/ski-resort/mohawk-mountain/,81.0,919,1490,571,5.0,Connecticut,107,92,Independent,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,8,No,41.8381109806704,-73.3150251311697,No
Monarch,https://www.skiresort.info/ski-resort/monarch/,139.0,10794,11909,1115,23.0,Colorado,800,350,Independent,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,1,7,No,38.5119341093121,-106.332256677704,No
Mont Ripley,https://www.skiresort.info/ski-resort/mont-ripley/,60.0,656,1083,427,4.0,Michigan,112,275,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,4,No,47.1279021926219,-88.5602456490077,No
Mont du Lac,https://www.skiresort.info/ski-resort/mont-du-lac/,54.99,640,919,279,2.0,Wisconsin,20,55,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,No,46.6515796770749,-92.2844870649038,No
Montage Mountain Resort,https://www.skiresort.info/ski-resort/montage-mountain-resort/,89.0,935,1949,1014,6.0,Pennsylvania,140,47,Independent,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,6,No,41.351004626727,-75.6619309845132,No
Montana Snowbowl,https://www.skiresort.info/ski-resort/montana-snowbowl/,79.0,4997,7598,2602,19.0,Montana,950,300,Independent,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,0,6,No,47.0144510796211,-113.999707797169,No
Moose Mountain,https://www.skiresort.info/ski-resort/moose-mountain/,55.0,679,1952,1273,16.0,Alaska,200,70,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,64.9404426895369,-147.991355521483,No
Mt. Abram,https://www.skiresort.info/ski-resort/mt-abram/,39.0,951,2001,1050,9.0,Maine,170,115,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,4,No,44.3796619039895,-70.7067943423313,No
Mt. Ashland,https://www.skiresort.info/ski-resort/mt-ashland/,79.0,6339,7500,1161,8.0,Oregon,240,300,Independent,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,6,No,42.0817384270801,-122.704953326488,Yes
Mt. Ashwabay,https://www.skiresort.info/ski-resort/mt-ashwabay-salmo/,35.0,1004,1276,272,2.0,Wisconsin,65,120,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No,46.7771989913976,-90.8945027136377,No
Mt. Bachelor,https://www.skiresort.info/ski-resort/mt-bachelor/,224.0,5699,9065,3366,61.0,Oregon,4323,462,Powdr,0,0,0,0,0,1,0,7,1,3,0,0,0,0,0,0,0,3,15,No,44.0026767292127,-121.678658696209,No
Mt. Baker,https://www.skiresort.info/ski-resort/mt-baker/,94.27,3510,5105,1594,16.0,Washington,1000,701,Independent,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,9,No,48.8618315027041,-121.654790071555,No
Mount Baldy,https://www.skiresort.info/ski-resort/mt-baldy/,115.0,6486,8596,2110,12.0,California,800,170,Independent,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,No,34.2700526644504,-117.621860023037,No
Mount Bohemia,https://www.skiresort.info/ski-resort/mt-bohemia/,95.0,623,1460,837,8.0,Michigan,585,273,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,No,47.3878041398726,-88.0207536933831,No
Mt. Brighton,https://www.skiresort.info/ski-resort/mt-brighton/,117.0,935,1115,180,4.0,Michigan,130,60,Vail Resorts,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5,2,12,No,42.5407515363666,-83.8115629359673,No
Mt. Crescent,https://www.skiresort.info/ski-resort/mt-crescent/,44.0,1201,1499,299,1.0,Iowa,50,30,Independent,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,No,41.3942508584616,-95.8605955960958,No
Mt. Eustis,https://www.skiresort.info/ski-resort/mt-eustis-littleton/,0.0,984,1263,279,1.0,New Hampshire,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,44.2973722928387,-71.7736434606393,Yes
Mt. Eyak,https://www.skiresort.info/ski-resort/mt-eyak/,30.0,400,1201,801,3.0,Alaska,100,350,Independent,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,No,60.5498646477259,-145.74962083997,Yes
Mt. Holiday,https://www.skiresort.info/ski-resort/mt-holiday/,40.0,689,899,210,3.0,Michigan,45,120,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,No,44.7434259068089,-85.5145007762381,No
Mt. Holly,https://www.skiresort.info/ski-resort/mt-holly/,69.0,968,1247,279,4.0,Michigan,100,42,Wisconsin Resorts,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,4,2,13,No,42.8308312552577,-83.5643272460833,No
Mt. Hood Meadows,https://www.skiresort.info/ski-resort/mt-hood-meadows/,164.0,4521,7300,2779,56.0,Oregon,2150,430,Independent,0,0,0,0,0,1,0,5,1,0,0,3,0,0,0,0,0,1,11,No,45.3317162898854,-121.665268345274,No
Mt. Hood Skibowl,https://www.skiresort.info/ski-resort/mt-hood-skibowl/,89.0,3675,4954,1280,40.0,Oregon,960,300,Independent,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,2,9,No,45.3016267243773,-121.773436335297,No
Mt. Jefferson,https://www.skiresort.info/ski-resort/mt-jefferson/,45.0,420,755,335,6.0,Maine,160,75,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,45.3574993343982,-68.2838438205781,No
Mount Kato,https://www.skiresort.info/ski-resort/mt-kato/,59.0,791,1027,236,7.0,Minnesota,65,50,Independent,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,1,9,No,44.1330682315049,-94.0334010470907,No
Mt. La Crosse,https://www.skiresort.info/ski-resort/mt-la-crosse/,75.0,722,1220,499,4.0,Wisconsin,100,30,Independent,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,No,43.7435160202581,-91.1829432810558,No
Mt. Lemmon,https://www.skiresort.info/ski-resort/mt-lemmon-ski-valley/,69.0,8274,9022,748,5.0,Arizona,200,180,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,No,32.4473469535792,-110.781571829789,No
Mt. McSauba,https://www.skiresort.info/ski-resort/mt-mcsauba/,23.0,607,709,102,0.4,Michigan,80,130,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,Yes,45.3359105594195,-85.2435563436395,No
Mount Peter,https://www.skiresort.info/ski-resort/mount-peter/,79.0,804,1083,279,2.0,New York,60,50,Independent,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,6,No,41.2476651730598,-74.2951373861055,No
Mount Pisgah,https://www.skiresort.info/ski-resort/mt-pisgah/,25.0,1772,2057,285,1.0,New York,15,60,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,44.3455513604065,-74.1256385804324,No
Mount Pleasant,https://www.skiresort.info/ski-resort/mount-pleasant/,40.0,1181,1496,315,3.0,Pennsylvania,35,150,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,No,41.85189126928,-80.071202080451,No
Mt. Rose,https://www.skiresort.info/ski-resort/mt-rose/,179.0,7897,9701,1804,37.0,Nevada,1200,350,Independent,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,3,9,No,39.3185041773208,-119.871105340327,No
Mt. Shasta Ski Park,https://www.skiresort.info/ski-resort/mt-shasta-ski-park/,99.0,5479,7497,2018,14.0,California,635,157,Independent,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,6,No,41.3211305700917,-122.203663705955,No
Mount Ski Gull,https://www.skiresort.info/ski-resort/mount-ski-gull/,45.0,1263,1453,190,1.0,Minnesota,55,50,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,No,46.447401766923,-94.3778316462264,No
Mount Snow,https://www.skiresort.info/ski-resort/mount-snow/,149.0,1919,3593,1673,37.0,Vermont,601,150,Vail Resorts,0,0,0,0,0,2,0,4,0,5,0,2,0,0,0,0,1,5,19,No,42.96777334596,-72.894646616674,No
Mount Southington,https://www.skiresort.info/ski-resort/mt-southington/,68.0,203,568,364,4.0,Connecticut,51,80,Independent,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,7,No,41.582585375735,-72.9249831100412,No
Mt. Spokane,https://www.skiresort.info/ski-resort/mt-spokane/,80.0,3888,5889,2001,16.0,Washington,1704,300,Independent,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,1,8,No,47.9214791384284,-117.09602107211,Yes
Mount Sunapee,https://www.skiresort.info/ski-resort/mt-sunapee/,119.0,1263,2717,1453,19.0,New Hampshire,233,130,Vail Resorts,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,3,8,No,43.3309713253797,-72.0807835697123,No
Mt. Zion,https://www.skiresort.info/ski-resort/mt-zion-hill/,45.0,1427,1726,299,2.0,Michigan,20,200,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,No,46.4740776485022,-90.1629500858359,No
Mountain Creek,https://www.skiresort.info/ski-resort/mountain-creek-vernon/,99.99,440,1480,1040,15.0,New Jersey,167,65,Snow Partners,0,0,0,1,0,0,0,2,2,1,0,1,0,0,0,0,0,2,9,No,41.1905904409055,-74.5044461533024,No
Mountain High: East,https://www.skiresort.info/ski-resort/mountain-high-east/,149.0,6594,8189,1594,7.0,California,140,117,California Mountain Resort Company,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,5,No,34.3720195633284,-117.676268485332,No
Mountain High: West,https://www.skiresort.info/ski-resort/mountain-high-west/,149.0,6923,7907,984,9.0,California,140,117,California Mountain Resort Company,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,2,8,No,34.3767720914742,-117.691585287721,No
Mt. Waterman,https://www.skiresort.info/ski-resort/mt-waterman/,80.0,6955,8005,1050,6.0,California,150,180,Independent,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,No,34.3492281613165,-117.928801038645,No
Mulligan’s Hollow Ski Bowl,https://www.skiresort.info/ski-resort/mulligans-hollow-ski-bowl/,22.0,617,764,148,1.0,Michigan,7,60,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,Yes,43.0576131791777,-86.2393298554577,Yes
Mystic Mountain,https://www.skiresort.info/ski-resort/mystic-mountain-farmington/,50.0,1729,2031,302,2.0,Pennsylvania,27,31,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,No,39.8131729703245,-79.5463200710606,No
Nashoba Valley,https://www.skiresort.info/ski-resort/nashoba-valley/,80.0,190,420,230,4.0,Massachusetts,59,50,Independent,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,4,11,No,42.5423783036823,-71.4448573409968,No
Nordic Mountain,https://www.skiresort.info/ski-resort/nordic-mountain/,80.0,928,1138,210,4.0,Wisconsin,60,60,Schmitz Brothers,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,6,No,44.1214418579386,-89.1814503573997,No
Nordic Valley,https://www.skiresort.info/ski-resort/nordic-valley/,72.0,5354,7064,1709,6.0,Utah,200,300,Mountain Capital Partners,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,5,No,41.3103801825413,-111.865074583502,No
Northeast Slopes,https://www.skiresort.info/ski-resort/northeast-slopes-east-corinth/,15.0,827,1165,338,1.0,Vermont,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,Yes,44.072573679471,-72.250629997942,Yes
Northstar California Resort,https://www.skiresort.info/ski-resort/northstar-california-resort/,270.0,6329,8609,2280,60.0,California,3170,350,Vail Resorts,0,1,1,0,0,1,1,6,1,2,0,0,0,0,0,1,1,5,20,No,39.2749887091883,-120.122534060829,No
Norway Mountain,https://www.skiresort.info/ski-resort/norway-mountain/,69.0,984,1332,348,5.0,Michigan,80,27,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,6,No,45.7895190455107,-87.8695254543123,No
Nub’s Nob Ski Area,https://www.skiresort.info/ski-resort/nubs-nob-ski-area/,110.0,919,1322,404,12.0,Michigan,248,123,Independent,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,1,1,10,No,45.4712750404227,-84.9047155619542,No
Oak Mountain,https://www.skiresort.info/ski-resort/oak-mountain/,56.0,1749,2402,653,7.0,New York,100,101,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,No,43.5140070677805,-74.3609561355703,No
Ober Mountain,https://www.skiresort.info/ski-resort/ober-gatlinburg/,99.0,1362,2648,3219,4.0,Tennessee,38,35,Independent,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,6,No,35.7029580968834,-83.5584760746647,No
Oglebay Resort,https://www.skiresort.info/ski-resort/oglebay-resort/,34.0,915,1100,185,1.0,West Virginia,,,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,No,40.1087238405941,-80.6522578565538,No
Okemo,https://www.skiresort.info/ski-resort/okemo/,207.0,1142,3343,2201,43.0,Vermont,632,200,Vail Resorts,0,0,0,0,0,2,0,4,5,2,0,0,0,0,0,1,0,6,20,No,43.4016974190241,-72.7167643694477,No
Otis Ridge,https://www.skiresort.info/ski-resort/otis-ridge/,55.0,1230,1575,344,2.0,Massachusetts,70,70,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,5,No,42.1962780854062,-73.0984557401775,No
Otsego,https://www.skiresort.info/ski-resort/otsego-gaylord/,75.0,1086,1385,299,4.0,Michigan,160,155,Independent,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,5,No,45.0320500808004,-84.6518012863459,No
Pajarito Mountain,https://www.skiresort.info/ski-resort/pajarito-mountain/,65.0,8999,10440,1440,16.0,New Mexico,750,125,Mountain Capital Partners,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,6,No,35.894951495934,-106.391060437568,No
Palisades Tahoe,https://www.skiresort.info/ski-resort/palisades-tahoe/,290.0,6201,9006,2805,124.0,California,6000,400,Alterra,1,2,0,0,0,8,0,5,1,10,0,8,0,0,0,0,0,7,42,No,39.1957670677847,-120.234702669971,No
Paoli Peaks,https://www.skiresort.info/ski-resort/paoli-peaks/,50.0,545,823,279,4.0,Indiana,65,18,Vail Resorts,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,2,7,No,38.5555868185865,-86.5121927603359,No
Park City,https://www.skiresort.info/ski-resort/park-city/,328.0,6801,10000,3199,155.0,Utah,7300,355,Vail Resorts,0,3,1,1,0,6,0,10,5,7,0,3,0,0,0,0,2,3,41,No,40.6528631863087,-111.508887993851,No
Pats Peak,https://www.skiresort.info/ski-resort/pats-peak/,99.0,591,1398,807,21.0,New Hampshire,115,100,Independent,0,0,0,0,0,0,0,0,1,3,0,2,0,0,1,0,2,2,11,No,43.16224601624913,-71.79680475530348,No
Paul Bunyan Ski Hill,https://www.skiresort.info/ski-resort/paul-bunyan-ski-hill/,30.0,1247,1362,115,1.0,Wisconsin,,65,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,Yes,45.3255228234331,-88.524447650357,No
Pebble Creek,https://www.skiresort.info/ski-resort/pebble-creek/,76.0,6358,8560,2201,12.0,Idaho,1100,225,Independent,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,No,42.7784665085899,-112.159198204677,No
Peek’N Peak,https://www.skiresort.info/ski-resort/peekn-peak/,76.0,1411,1755,344,7.0,New York,105,200,Independent,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,3,11,No,42.0623792116924,-79.7358075897459,No
Perfect North Slopes,https://www.skiresort.info/ski-resort/perfect-north-slopes/,72.0,400,801,400,3.0,Indiana,100,18,The Perfect Family,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,5,12,No,39.1473665784309,-84.8856335499722,No
Pico Mountain,https://www.skiresort.info/ski-resort/pico-mountain/,124.0,2001,3967,1965,19.0,Vermont,468,250,Powdr,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,1,7,No,43.6616810125033,-72.8432704393973,No
Pine Creek,https://www.skiresort.info/ski-resort/pine-creek/,65.0,6873,8228,1355,10.0,Wyoming,370,150,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,No,42.1028490722396,-110.828714421634,No
Pine Knob,https://www.skiresort.info/ski-resort/pine-knob/,69.0,1017,1286,269,3.0,Michigan,80,60,Wisconsin Resorts,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,3,13,No,42.7455597131101,-83.3691774701913,No
Pine Mountain,https://www.skiresort.info/ski-resort/pine-mountain/,69.0,1148,1512,364,6.0,Michigan,80,60,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,6,No,45.839011314614,-88.088128790804,No
Pinnacle Park,https://www.skiresort.info/ski-resort/pinnacle-park-pittsfield/,20.0,240,315,75,0.4,Maine,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Yes,44.7957750837098,-69.3878202868366,No
Plattekill,https://www.skiresort.info/ski-resort/plattekill/,98.0,2283,3327,1043,10.0,New York,75,175,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,No,42.2902113140614,-74.6534024145329,No
Pleasant Mountain,https://www.skiresort.info/ski-resort/pleasant-mountain/,95.0,525,1804,1280,14.0,Maine,249,110,Boyne Resorts,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,6,No,44.0586256570883,-70.8153258270423,No
Pomerelle,https://www.skiresort.info/ski-resort/pomerelle/,68.0,7736,8661,925,9.0,Idaho,500,500,Independent,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,No,42.3179220729338,-113.607957938696,No
Porcupine Mountain,https://www.skiresort.info/ski-resort/porcupine-mountain/,45.0,735,1365,630,6.0,Michigan,250,200,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,No,46.8177628290471,-89.6503255297213,No
Powder Mountain,https://www.skiresort.info/ski-resort/powder-mountain/,219.0,6893,8901,2008,42.0,Utah,8464,400,Independent,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,1,1,1,13,No,41.3797118329544,-111.781480121894,No
Powder Ridge (Minnesota),https://www.skiresort.info/ski-resort/powder-ridge/,55.0,1168,1417,249,2.0,Minnesota,60,45,Independent,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,3,0,7,No,45.3437081283983,-94.3053935352711,No
Powder Ridge Mountain Park (Connecticut),https://www.skiresort.info/ski-resort/powder-ridge-mountain-park-resort/,59.0,377,804,427,3.0,Connecticut,80,38,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,5,No,41.5017102873451,-72.7367584963923,No
Powderhorn,https://www.skiresort.info/ski-resort/powderhorn/,119.0,8199,9843,1644,24.0,Colorado,1600,250,Pacific Group Resorts,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,5,No,39.0693740826515,-108.150840021566,No
Powderhouse Hill,https://www.skiresort.info/ski-resort/powderhouse-hill-south-berwick/,5.0,121,262,141,0.3,Maine,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,43.2369851953414,-70.8022895185538,No
Powers Bluff,https://www.skiresort.info/ski-resort/powers-bluff/,13.0,1312,1430,118,1.0,Wisconsin,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,44.5294493638483,-90.0720865331834,No
Purgatory,https://www.skiresort.info/ski-resort/purgatory-durango/,129.0,8793,10823,2031,53.0,Colorado,1635,260,Mountain Capital Partners,0,0,0,0,0,1,0,2,0,4,0,3,0,0,0,0,0,2,12,No,37.629881675747,-107.814555603035,No
Quechee Lakes Ski Area,https://www.skiresort.info/ski-resort/quechee-lakes-ski-area/,57.0,650,1247,597,3.0,Vermont,,,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,No,43.6559438183485,-72.4423500140371,No
Quoggy Joe Ski Center,https://www.skiresort.info/ski-resort/quoggy-jo-ski-center-presque-isle/,15.0,712,902,190,0.4,Maine,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Yes,46.7224654111433,-67.9292789587628,Yes
Ragged Mountain,https://www.skiresort.info/ski-resort/ragged-mountain/,119.0,1115,2231,1115,14.0,New Hampshire,224,100,Pacific Group Resorts,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,No,43.4847865262408,-71.8424369671748,No
Red Hill – Moultonborough,https://www.skiresort.info/ski-resort/red-hill-moultonborough/,25.0,627,853,226,1.0,New Hampshire,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,43.7492649002554,-71.4161629828955,No
Red Lodge Mountain,https://www.skiresort.info/ski-resort/red-lodge-mountain/,107.0,7014,9416,2402,40.0,Montana,1635,250,JMA Ventures,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,2,8,No,45.1907494131693,-109.336382857239,No
Red River,https://www.skiresort.info/ski-resort/red-river/,129.0,8661,10285,1624,12.0,New Mexico,209,214,Independent,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,7,No,36.7061654984598,-105.412858621675,No
Rotarun,https://www.skiresort.info/ski-resort/rotarun/,15.0,5482,5873,390,3.0,Idaho,15,100,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,Yes,43.4972341488978,-114.365063514981,No
Roundtop,https://www.skiresort.info/ski-resort/roundtop/,117.0,755,1345,591,5.0,Pennsylvania,103,30,Vail Resorts,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,3,9,No,40.1094340565374,-76.9275934743299,No
Royal Mountain,https://www.skiresort.info/ski-resort/royal-mountain/,60.0,1201,1775,574,5.0,New York,40,90,Independent,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,No,43.0816856094062,-74.5044524394764,No
Saddleback,https://www.skiresort.info/ski-resort/saddleback/,139.0,2119,4003,1883,14.0,Maine,600,225,Independent,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,6,No,44.9462698539801,-70.5272478482573,No
Sapphire Valley,https://www.skiresort.info/ski-resort/sapphire-valley/,68.0,3163,3297,135,0.5,North Carolina,8,24,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,No,35.1239845934235,-83.0588943309025,No
Saskadena Six,https://www.skiresort.info/ski-resort/saskadena-six/,109.0,722,1348,627,7.0,Vermont,100,90,Independent,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,No,43.6648791916815,-72.5439475129453,No
Sawmill Mountain Resort,https://www.skiresort.info/ski-resort/sawmill-mountain-resort/,59.0,1673,2034,361,3.0,Pennsylvania,15,24,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,4,No,41.518598683427,-77.2904174318736,No
Schweitzer Mountain Resort,https://www.skiresort.info/ski-resort/schweitzer-mountain-resort/,150.0,3957,6398,2441,40.0,Idaho,2900,300,Alterra,0,0,0,0,0,1,0,4,0,2,0,1,0,1,0,0,0,1,10,No,48.3679523492559,-116.62347342909,No
Seven Oaks,https://www.skiresort.info/ski-resort/seven-oaks/,48.0,909,1083,174,2.0,Iowa,35,40,Independent,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,5,No,42.0306708493618,-93.9534685580875,No
Seven Springs,https://www.skiresort.info/ski-resort/seven-springs/,111.0,2264,3002,738,11.0,Pennsylvania,285,135,Vail Resorts,0,0,0,0,0,2,0,0,4,4,0,0,0,0,0,0,1,3,14,No,40.0224923429759,-79.2973140511691,No
Shanty Creek Resorts – Schuss Mountain,https://www.skiresort.info/ski-resort/shanty-creek-resorts-schuss-mountain/,96.0,820,1168,348,7.0,Michigan,80,160,Independent,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,1,1,9,No,44.9401911430724,-85.1338482585649,No
Shawnee Mountain,https://www.skiresort.info/ski-resort/shawnee-mountain/,85.0,476,1148,673,11.0,Pennsylvania,120,50,Independent,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,3,9,No,41.0388042131498,-75.0822378280752,No
Showdown,https://www.skiresort.info/ski-resort/showdown/,68.0,6857,8202,1345,12.0,Montana,640,255,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,4,No,46.8382632045939,-110.700446701004,No
Sierra at Tahoe,https://www.skiresort.info/ski-resort/sierra-at-tahoe/,175.0,6640,8852,2211,29.0,California,2000,480,Independent,0,0,0,0,0,0,0,3,0,1,0,5,0,0,0,0,0,5,14,No,38.8004326419019,-120.0804292878,No
Silver Mountain,https://www.skiresort.info/ski-resort/silver-mountain/,77.0,4100,6300,2200,16.0,Idaho,1600,300,CMR Lands,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,6,No,47.4991526828927,-116.119091017509,No
Silverton Mountain,https://www.skiresort.info/ski-resort/silverton-mountain/,269.0,10325,12434,2110,,Colorado,1819,400,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,No,37.8843383936486,-107.665835873599,No
Sipapu,https://www.skiresort.info/ski-resort/sipapu/,72.0,8202,9268,1066,11.0,New Mexico,205,190,Mountain Capital Partners,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,6,No,36.1541361551278,-105.548245900874,No
